Date: Minute,Durchschnitt von Pnn50,Durchschnitt von Hr Bpm,Durchschnitt von Lf Ms2,Durchschnitt von Hf Ms2,Durchschnitt von Vlf Ms2,Durchschnitt von VIdx
2026-04-19 23:00:00,0.0,87.22533210794552,469.88305969620757,221.4611223115906,955.5325678251468,42.52124003461806
2026-04-19 23:01:00,0.0,84.00840084008401,480.8561593706261,256.2173465958842,1003.5061173473625,43.63337542110648
2026-04-19 23:02:00,1.2048192771084338,83.39054572246688,927.9245968929504,371.26274125341905,1027.8810097148944,47.49266733669291
2026-04-19 23:03:00,6.25,80.10146185167879,855.0760659916018,401.4607205661973,1009.2701201902953,49.53236957529777
2026-04-19 23:04:00,0.0,87.6523124937747,493.99577255760835,310.79802528237366,981.2804201510468,43.22130907978222
2026-04-19 23:05:00,0.0,84.73293993039793,464.26985332280265,205.50039958907982,1028.8365311969444,43.06022740439544
2026-04-19 23:06:00,0.0,84.0042002100105,496.4258074706847,205.50867919400443,1221.8121478945272,42.85264442766367
2026-04-19 23:07:00,1.2195121951219512,81.53795160755718,575.41648165891,309.12836233145816,1547.4302814421262,46.61571992233535
2026-04-19 23:08:00,0.0,82.31967473689494,478.9350735172268,329.57682069065504,1912.1432235295756,45.643685556908075
2026-04-19 23:09:00,1.1235955056179776,89.34397430105908,634.4155902893599,364.28554371188335,2181.5718200216,41.4895611338104
2026-04-19 23:10:00,14.102564102564102,77.94543819326472,1246.5011389692424,526.0331766503245,2259.1515560962184,54.773220566040735
2026-04-19 23:11:00,1.25,79.99066775542853,983.1399274576822,438.1657843957181,2136.503942876443,46.334276119374564
2026-04-19 23:12:00,1.2048192771084338,82.94608504472093,690.5965018937246,302.3124482040156,1879.35993916399,45.756984075195106
2026-04-19 23:13:00,1.2345679012345678,81.37023456728113,864.7398752144966,275.5204837893431,1592.5402152223005,46.62452483470459
2026-04-19 23:14:00,3.614457831325301,84.84249620934631,583.1946597956754,275.9939721115032,1366.0904847151573,46.57795477115632
2026-04-19 23:15:00,0.0,82.21238198679923,258.0386198174265,211.47658985098005,1259.1828401104897,42.41501622205277
2026-04-19 23:16:00,0.0,85.53242275560271,208.8429482487948,111.98368108496571,1274.028431431152,39.34497810640859
2026-04-19 23:17:00,0.0,89.12626220479012,154.45024409585386,60.18954974023943,1372.1756391919657,34.31335586140728
2026-04-19 23:18:00,0.0,90.90606373414138,315.34571061327927,78.34716890878187,1508.958495575021,33.744840759600386
2026-04-19 23:19:00,0.0,87.61770481897378,1461.6845150425968,317.53711532485005,1641.8378316530018,42.40700508732551
2026-04-19 23:20:00,8.421052631578947,95.37993005471796,2857.1982958048993,578.2223871584614,1721.3847948137277,59.60050706819353
2026-04-19 23:21:00,4.3478260869565215,91.60001327536425,1631.3481437257426,418.210543623238,1708.548062639958,46.700799614171494
